INFO: 2025/03/24 23:46:46 consumer-single.go:120: Connected to RabbitMQ at ***@192.168.7.172:5672
INFO: 2025/03/24 23:46:46 consumer-single.go:398: Starting consumer with 100 workers...
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
ERROR: 2025/03/24 23:46:46 consumer-single.go:201: Processing failed: empty msg_id
